location;budget;time_available;food_type;queue_tolerance;weather;recommended_place;adress
Московский тракт;Маленький, Средний, Большой;меньше 5 мин, 5-15 мин;Продукты, Кофе, Перекус, Мороженное, Напитки, Выпечка;Нет, Да;Хорошая;Абрикос;Московский тракт, 17
Троллейбусная остановка;Маленький, Средний, Большой;меньше 5 мин, 5-15 мин;Продукты, Кофе, Перекус, Мороженное, Напитки, Выпечка;Нет, Да;Хорошая;Ярче;Советская ул., 46
Московский тракт;Средний;меньше 5 мин, 5-15 мин, от 15 мин;Прием пищи;Нет;Хорошая;Безумно;Московский тракт, 17
Общежитие 5, 6;Средний;меньше 5 мин, 5-15 мин, от 15 мин;Прием пищи;Нет;Хорошая;Rostick's;просп. Ленина, 51а
Главный корпус;Средний;меньше 5 мин, 5-15 мин, от 15 мин;Блины;Нет;Хорошая, Плохая;Сибирские блины;просп. Ленина, 36
Кампусная территория ;Средний;меньше 5 мин, 5-15 мин, от 15 мин;Прием пищи, Кофе, Выпечка;Нет, Да;Хорошая, Плохая;Starbooks;просп. Ленина, 36, корп. 9
Кампусная территория ;Средний;меньше 5 мин, 5-15 мин, от 15 мин;Прием пищи, Кофе, Выпечка;Нет, Да;Хорошая;Starbooks;Московский тракт, 2г
Московский тракт;Маленький, Средний;меньше 5 мин;Кофе;Нет, Да;Хорошая, Плохая;Кофейный аппарат;Московский тракт, 2 ст7
Главный корпус;Средний;меньше 5 мин, 5-15 мин, от 15 мин;Прием пищи;Нет;Хорошая, Плохая;Столовая №1;просп. Ленина, 36
Общежитие 5, 6;Маленький, Средний, Большой;меньше 5 мин, 5-15 мин;Продукты, Перекус, Мороженное, Напитки;Нет, Да;Хорошая;Бристоль;Советская улица, 63 
Общежитие 5, 6;Большой;меньше 5 мин, 5-15 мин;Кофе;Нет, Да;Хорошая;Точка;просп. Ленина, 47а
Автобусная остановка;Большой;меньше 5 мин, 5-15 мин;Мороженное;Нет, Да;Хорошая;33 Пингвина;просп. Ленина, 63/1 киоск
Автобусная остановка;Большой;меньше 5 мин, 5-15 мин, от 15 мин;Выпечка, Кофе;Нет, Да;Хорошая;Baba Roma;просп. Ленина, 63
